id,party,census_block,dem_partisan_score,state,census_tract,x,y
2232842990,Democrat,37081016503,97.05,37,37081016503,1050376.183071614,-480001.09353985783
3950588203,Democrat,37081016503,99.0,37,37081016503,1050376.183071614,-480001.09353985783
1983460227,Democrat,37127010602,82.9,37,37127010602,1240657.0955653721,-471094.8809625103
1517321649,Republican,37127010602,0.3,37,37127010602,1240657.0955653721,-471094.8809625103
827112030,Republican,37127010602,1.2,37,37127010602,1240657.0955653721,-471094.8809625103
1730883830,Republican,37127010602,2.1,37,37127010602,1240657.0955653721,-471094.8809625103
3054733521,Republican,37059080300,0.5,37,37059080300,1000515.2479418906,-492499.3336581976
291875041,Republican,37059080300,5.7,37,37059080300,1000515.2479418906,-492499.3336581976
454679772,Democrat,37067002901,94.9,37,37067002901,1019936.5911246856,-463569.7335950906
1319536574,Democrat,37063001708,97.9,37,37063001708,1141640.5246885952,-471164.9449108553
1473143705,Democrat,37153970900,85.9,37,37153970900,1074515.4207153977,-608349.3148392715
2569011115,Democrat,37183053417,92.8,37,37183053417,1146355.4154201872,-510878.7348212539
3354380923,Republican,37009970400,17.3,37,37009970400,901464.3919096928,-448654.2653437498
2443775445,Republican,37009970400,28.6,37,37009970400,901464.3919096928,-448654.2653437498
2658214000,Republican,37009970400,39.9,37,37009970400,901464.3919096928,-448654.2653437498
1996450522,Republican,37195001700,0.3,37,37195001700,1224406.8724600552,-511573.5509191245
4245529680,Republican,37195001700,0.44999999999999996,37,37195001700,1224406.8724600552,-511573.5509191245
3064240781,Republican,37195001700,0.6,37,37195001700,1224406.8724600552,-511573.5509191245
811349740,Democrat,37195001700,95.6,37,37195001700,1224406.8724600552,-511573.5509191245
416311551,Democrat,37163970600,97.0,37,37163970600,1199450.454899155,-581808.4265283386
1475591543,Democrat,37001021702,98.2,37,37001021702,1085585.7449077829,-472599.6490415713
3997932563,Republican,37119006215,1.0,37,37119006215,967216.4610086612,-559702.4585862126
868536507,Republican,37119006215,4.7,37,37119006215,967216.4610086612,-559702.4585862126
1220562288,Republican,37119006215,8.4,37,37119006215,967216.4610086612,-559702.4585862126
2217546719,Republican,37109070600,15.1,37,37109070600,915972.8739334721,-544861.6935605309
604363091,Democrat,37135011205,87.0,37,37135011205,1128599.5919378349,-484027.4879386503
245588490,Democrat,37125950702,98.4,37,37125950702,1097998.4598061629,-574554.1303139292
1231044315,Democrat,37125950702,98.55000000000001,37,37125950702,1097998.4598061629,-574554.1303139292
