census_FIP,race,dem_partisan_score,party,education,income
32003003208,Caucasian,-2.741487858248993,1,39.34902304697659,139.49704036781625
15003011000,Caucasian,43.483174180900605,0,73.4029044484672,130.54702669731014
9009170800,Caucasian,99.16166057596655,0,41.872859470473195,48.360189965650555
48439113218,Caucasian,0.22086643751407853,1,78.72226657150361,123.98544610071282
6059032049,Caucasian,91.02485210072328,0,81.97121923501106,
12103024004,Caucasian,48.88883915834226,1,54.54213784981096,482.3194097202818
6073013102,Uncoded,65.75975365069664,0,39.51211156132787,61.1458957141193
42041011101,Caucasian,36.31871544298996,1,40.033012147921276,
6095252904,Caucasian,23.54283157055781,1,85.3547347231402,284.8569924500248
39049000500,Asian,83.49768455370999,0,16.59478895667412,137.10323010825653
48493000403,Caucasian,9.768861242563766,1,48.43828289754823,141.0591740640569
48029120300,Caucasian,7.81793875389317,1,40.439844026641524,144.9835961326593
31141965700,Caucasian,-0.6393146497338755,1,32.33213757886343,3.2477122923645156
37119005837,Caucasian,12.317771379319879,1,73.46908410098169,
23019026500,Caucasian,102.0141210967314,0,12.986189292655803,58.495311639491334
24031701408,Caucasian,15.274161723149414,1,59.53222725849409,
19153011300,Caucasian,41.97624937368468,1,5.737058892779906,135.76452087619325
23025966800,Caucasian,5.448728503176553,1,29.43256865694433,148.21219242947592
55133201704,Caucasian,2.3702488080115893,1,70.09997423678276,154.957595966348
6019005507,Caucasian,-2.9061605315525654,1,74.25958666711199,242.24322580873937
53033006600,Caucasian,90.47162991299196,0,42.61040588770985,
22099020800,African-American,99.45354787546397,0,20.629387484730312,41.25963424444512
26163521400,African-American,94.78843828576981,0,28.51731373327289,
51087200128,Caucasian,39.34084064562272,1,80.27309336507126,152.94141819886184
6073018100,Caucasian,2.6403204579208266,1,74.99916820563509,140.62257929383847
4013106502,Caucasian,1.3208049127246628,1,40.82100025604358,
6073013909,Caucasian,77.23735127516339,0,65.82817398400013,28.072601991331283
48141004320,Hispanic,96.69982810383341,0,35.23704887961882,
13121010507,African-American,100.31700417267164,0,19.793845374783334,-0.14467991705244287
9009176000,Caucasian,54.863752186257784,0,79.90049255740558,176.364031492146
25013802300,Caucasian,91.3088129865088,0,34.04067302629666,
